movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,combined_info
insidious: the last key,Horror Mystery Thriller,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Adam Robitel Lin Shaye Angus Sampson Leigh Whannell Horror Mystery Thriller
the strange ones,Thriller Drama,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Lauren Wolkstein Alex Pettyfer James Freedson-Jackson Emily Althaus Thriller Drama
stratton,Action Thriller,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Simon West Dominic Cooper Austin Stowell Gemma Chan Action Thriller
sweet country,Drama History Western,Warwick Thornton,Bryan Brown,Sam Neill,None,Warwick Thornton Bryan Brown Sam Neill None Drama History Western
the commuter,Action Thriller,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Jaume Collet-Serra Liam Neeson Vera Farmiga Patrick Wilson Action Thriller
proud mary,Thriller Action Crime,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Babak Najafi Taraji P. Henson Billy Brown Danny Glover Thriller Action Crime
acts of violence,Action,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Brett Donowho Bruce Willis Cole Hauser Shawn Ashmore Action
freak show,Comedy Drama,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Trudie Styler Alex Lawther Abigail Breslin Bette Midler Comedy Drama
humor me,Comedy,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Sam Hoffman Jemaine Clement Elliott Gould Ingrid Michaelson Comedy
vazante,Drama,Daniela Thomas,Adriano Carvalho,Luana Nastas,None,Daniela Thomas Adriano Carvalho Luana Nastas None Drama
mary and the witch's flower,Fantasy Adventure Animation,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Hiromasa Yonebayashi Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Fantasy Adventure Animation
12 strong,War Drama Action History,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Nicolai Fuglsig Chris Hemsworth Michael Shannon Michael Peña War Drama Action History
den of thieves,Action Thriller Crime,Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Christian Gudegast Gerard Butler 50 Cent Pablo Schreiber Action Thriller Crime
forever my girl,Romance Drama Music,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Bethany Ashton Wolf Alex Roe Jessica Rothe John Benjamin Hickey Romance Drama Music
maze runner: the death cure,Science Fiction Action,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Wes Ball Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Science Fiction Action
the insult,Comedy Crime,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Ziad Doueiri Adel Karam Camille Salameh Kamel El Basha Comedy Crime
please stand by,Comedy Drama,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Ben Lewin Dakota Fanning Toni Collette Alice Eve Comedy Drama
winchester,Horror Thriller,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,The Spierig Brothers Helen Mirren Jason Clarke Sarah Snook Horror Thriller
a fantastic woman,Drama,Sebastián Lelio,Daniela Vega,Francisco Reyes,None,Sebastián Lelio Daniela Vega Francisco Reyes None Drama
armed,Action Horror Thriller,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Mario Van Peebles Mario Van Peebles William Fichtner Ryan Guzman Action Horror Thriller
the cloverfield paradox,Horror Science Fiction Action Thriller,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Julius Onah Daniel Brühl Elizabeth Debicki Aksel Hennie Horror Science Fiction Action Thriller
bad apples,Horror,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Bryan Coyne Brea Grant Graham Skipper Aly Fitzgerald Horror
peter rabbit,Family Comedy Adventure Animation Fantasy,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Will Gluck James Corden Domhnall Gleeson Rose Byrne Family Comedy Adventure Animation Fantasy
fifty shades freed,Drama Romance,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,James Foley Dakota Johnson Jamie Dornan Kim Basinger Drama Romance
the 15:17 to paris,Thriller History Drama,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Clint Eastwood Anthony Sadler Alek Skarlatos Spencer Stone Thriller History Drama
la boda de valentina,Comedy,Marco Polo Constandse,Omar Chaparro,Marimar Vega,Ryan Carnes,Marco Polo Constandse Omar Chaparro Marimar Vega Ryan Carnes Comedy
permission,Comedy Romance Drama,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Brian Crano Rebecca Hall Dan Stevens Morgan Spector Comedy Romance Drama
golden exits,Drama,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Alex Ross Perry Emily Browning Adam Horowitz Mary-Louise Parker Drama
black panther,Action Adventure Science Fiction,Ryan Coogler,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Ryan Coogler Chadwick Boseman Michael B. Jordan Lupita Nyong'o Action Adventure Science Fiction
early man,Family Comedy Animation Adventure,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Nick Park Eddie Redmayne Tom Hiddleston Maisie Williams Family Comedy Animation Adventure
loveless,Drama,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Andrey Zvyagintsev Maryana Spivak Alexei Rozin Matvey Novikov Drama
the party,Comedy,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Sally Potter Timothy Spall Kristin Scott Thomas Patricia Clarkson Comedy
nostalgia,Drama,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Mark Pellington Jon Hamm Nick Offerman Amber Tamblyn Drama
black '47,Drama Western,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Lance Daly Hugo Weaving Jim Broadbent Stephen Rea Drama Western
samson,Action Drama Adventure,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Bruce Macdonald Taylor James Jackson Rathbone Billy Zane Action Drama Adventure
game night,Mystery Comedy Crime,"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,"Jonathan Goldstein, John Francis Daley Jason Bateman Rachel McAdams Kyle Chandler Mystery Comedy Crime"
annihilation,Action Science Fiction Horror Mystery,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Alex Garland Natalie Portman Jennifer Jason Leigh Gina Rodriguez Action Science Fiction Horror Mystery
every day,Drama Fantasy Romance,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Michael Sucsy Angourie Rice Maria Bello Debby Ryan Drama Fantasy Romance
the cured,Horror Drama Science Fiction,David Freyne,Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,David Freyne Ellen Page Sam Keeley Tom Vaughan-Lawlor Horror Drama Science Fiction
the lodgers,Drama Horror Romance Thriller,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Brian O'Malley Charlotte Vega Bill Milner Eugene Simon Drama Horror Romance Thriller
red sparrow,Mystery Thriller,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Francis Lawrence Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Mystery Thriller
death wish,Action Crime Drama Thriller,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Eli Roth Bruce Willis Vincent D'Onofrio Dean Norris Action Crime Drama Thriller
the vanishing of sidney hall,Mystery Drama,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Shawn Christensen Logan Lerman Elle Fanning Michelle Monaghan Mystery Drama
foxtrot,Comedy Drama War,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Samuel Maoz Lior Ashkenazi Sarah Adler Yonatan Shiray Comedy Drama War
pickings,Thriller Action Crime Drama Mystery,Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Usher Morgan Elyse Price Joel Bernard Katie Vincent Thriller Action Crime Drama Mystery
a wrinkle in time,Adventure Science Fiction Family Fantasy,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Ava DuVernay Storm Reid Oprah Winfrey Reese Witherspoon Adventure Science Fiction Family Fantasy
gringo,Comedy Action,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Nash Edgerton David Oyelowo Charlize Theron Joel Edgerton Comedy Action
thoroughbreds,Drama Thriller,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Cory Finley Olivia Cooke Anya Taylor-Joy Anton Yelchin Drama Thriller
the death of stalin,Comedy Drama History,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Armando Iannucci Steve Buscemi Simon Russell Beale Paddy Considine Comedy Drama History
the leisure seeker,Drama Romance Adventure,Paolo Virzì,Donald Sutherland,Helen Mirren,None,Paolo Virzì Donald Sutherland Helen Mirren None Drama Romance Adventure
the strangers: prey at night,Horror Thriller,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Johannes Roberts Christina Hendricks Martin Henderson Bailee Madison Horror Thriller
the hurricane heist,Action Crime Thriller,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Rob Cohen Toby Kebbell Maggie Grace Ryan Kwanten Action Crime Thriller
tomb raider,Action Adventure Fantasy,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Roar Uthaug Alicia Vikander Dominic West Walton Goggins Action Adventure Fantasy
"love, simon",Comedy Drama Romance,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Greg Berlanti Nick Robinson Katherine Langford Alexandra Shipp Comedy Drama Romance
i can only imagine,Music Drama,Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Jon Erwin Cloris Leachman Dennis Quaid Priscilla Shirer Music Drama
7 days in entebbe,Thriller Drama Crime,José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,José Padilha Rosamund Pike Daniel Brühl Vincent Cassel Thriller Drama Crime
furlough,Comedy,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Laurie Collyer Melissa Leo Tessa Thompson La La Anthony Comedy
josie,Thriller Drama,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Eric England Sophie Turner Dylan McDermott Jack Kilmer Thriller Drama
flower,Drama Comedy,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Max Winkler Zoey Deutch Kathryn Hahn Tim Heidecker Drama Comedy
pacific rim: uprising,Action Fantasy Science Fiction Adventure,Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Steven S. DeKnight John Boyega Scott Eastwood Cailee Spaeny Action Fantasy Science Fiction Adventure
isle of dogs,Adventure Comedy Animation,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Wes Anderson Bryan Cranston Edward Norton Bill Murray Adventure Comedy Animation
sherlock gnomes,Animation Family Fantasy Comedy Adventure Mystery,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,John Stevenson James McAvoy Emily Blunt Johnny Depp Animation Family Fantasy Comedy Adventure Mystery
unsane,Horror Thriller,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Steven Soderbergh Claire Foy Joshua Leonard Jay Pharoah Horror Thriller
"paul, apostle of christ",Drama History,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,Andrew Hyatt James Faulkner Jim Caviezel Olivier Martinez Drama History
final portrait,Drama History,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Stanley Tucci Geoffrey Rush Armie Hammer Clémence Poésy Drama History
midnight sun,Romance Drama,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Scott Speer Bella Thorne Patrick Schwarzenegger Rob Riggle Romance Drama
followers,Thriller,Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Ryan Justice Amanda Delaney Justin Maina Sean Michael Gloria Thriller
ready player one,Science Fiction Adventure Action,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Steven Spielberg Tye Sheridan Olivia Cooke Ben Mendelsohn Science Fiction Adventure Action
tyler perry's acrimony,Thriller,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Tyler Perry Taraji P. Henson Lyriq Bent Tika Sumpter Thriller
god's not dead: a light in darkness,Drama,Michael Mason,David A. R. White,John Corbett,Shane Harper,Michael Mason David A. R. White John Corbett Shane Harper Drama
gemini,Science Fiction Action Thriller,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Aaron Katz Lola Kirke Zoë Kravitz Greta Lee Science Fiction Action Thriller
the last movie star,Drama,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Adam Rifkin Burt Reynolds Ariel Winter Clark Duke Drama
a quiet place,Science Fiction Thriller Horror,John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,John Krasinski John Krasinski Emily Blunt Millicent Simmonds Science Fiction Thriller Horror
blockers,Comedy,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Kay Cannon Leslie Mann Ike Barinholtz John Cena Comedy
you were never really here,Thriller Drama,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Lynne Ramsay Joaquin Phoenix Ekaterina Samsonov Alex Manette Thriller Drama
chappaquiddick,History Drama Thriller,John Curran,Jason Clarke,Kate Mara,Ed Helms,John Curran Jason Clarke Kate Mara Ed Helms History Drama Thriller
pandas,Documentary,"Drew Fellman, David Douglas",Kristen Bell,None,None,"Drew Fellman, David Douglas Kristen Bell None None Documentary"
lean on pete,Drama Adventure,Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Andrew Haigh Charlie Plummer Chloë Sevigny Travis Fimmel Drama Adventure
the miracle season,Drama,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Sean McNamara Helen Hunt William Hurt Erin Moriarty Drama
beirut,Action Thriller Drama,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Brad Anderson Jon Hamm Rosamund Pike Dean Norris Action Thriller Drama
rampage,Action,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Brad Peyton Dwayne Johnson Naomie Harris Malin Åkerman Action
truth or dare,Thriller Horror,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Jeff Wadlow Lucy Hale Tyler Posey Violett Beane Thriller Horror
the rider,Western Drama,Chloé Zhao,Brady Jandreau,None,None,Chloé Zhao Brady Jandreau None None Western Drama
sgt. stubby: an american hero,Animation Adventure Family History War,Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Richard Lanni Logan Lerman Helena Bonham Carter Gérard Depardieu Animation Adventure Family History War
i feel pretty,Comedy Romance,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,"Abby Kohn, Marc Silverstein Amy Schumer Michelle Williams Emily Ratajkowski Comedy Romance"
super troopers 2,Comedy Crime Mystery,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Jay Chandrasekhar Jay Chandrasekhar Paul Soter Steve Lemme Comedy Crime Mystery
traffik,Horror Thriller,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Deon Taylor Paula Patton Omar Epps Missi Pyle Horror Thriller
the house of tomorrow,Adventure,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Peter Livolsi Asa Butterfield Nick Offerman Ellen Burstyn Adventure
liz and the blue bird,Animation Drama Music,Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,None,Naoko Yamada Atsumi Tanezaki Nao Tōyama None Animation Drama Music
avengers: infinity war,Adventure Action Science Fiction,Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Anthony Russo and Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo Adventure Action Science Fiction
disobedience,Drama Romance,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Sebastián Lelio Rachel Weisz Rachel McAdams Alessandro Nivola Drama Romance
backstabbing for beginners,Thriller Drama History,Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Per Fly Ben Kingsley Theo James Jacqueline Bisset Thriller Drama History
kings,Adventure Drama Action,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,None,Deniz Gamze Ergüven Halle Berry Daniel Craig None Adventure Drama Action
overboard,Romance Comedy,"Rob Greenberg, Bob Fisher",Anna Faris,Eugenio Derbez,Eva Longoria,"Rob Greenberg, Bob Fisher Anna Faris Eugenio Derbez Eva Longoria Romance Comedy"
tully,Drama,Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Jason Reitman Charlize Theron Mackenzie Davis Mark Duplass Drama
bad samaritan,Thriller Crime Horror,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Dean Devlin David Tennant Robert Sheehan Carlito Olivero Thriller Crime Horror
the cleanse,Drama Comedy Fantasy,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Bobby Miller Johnny Galecki Anna Friel Oliver Platt Drama Comedy Fantasy
the guardians,Family Animation Fantasy Action Adventure,Xavier Beauvois,Nathalie Baye,None,None,Xavier Beauvois Nathalie Baye None None Family Animation Fantasy Action Adventure
life of the party,Comedy,Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Ben Falcone Melissa McCarthy Maya Rudolph Molly Gordon Comedy
breaking in,Thriller Crime Action Horror,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,James McTeigue Gabrielle Union Billy Burke Richard Cabral Thriller Crime Action Horror
the seagull,Drama Romance Comedy,Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Michael Mayer Saoirse Ronan Annette Bening Corey Stoll Drama Romance Comedy
terminal,Crime Drama Thriller,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Vaughn Stein Margot Robbie Simon Pegg Dexter Fletcher Crime Drama Thriller
revenge,Animation Action Fantasy,Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Coralie Fargeat Matilda Lutz Kevin Janssens Vincent Colombe Animation Action Fantasy
deadpool 2,Action Comedy Adventure,David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,David Leitch Ryan Reynolds Josh Brolin Zazie Beetz Action Comedy Adventure
book club,Comedy Romance Drama,Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Bill Holderman Jane Fonda Candice Bergen Mary Steenburgen Comedy Romance Drama
first reformed,Drama,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Paul Schrader Ethan Hawke Amanda Seyfried Cedric Kyles Drama
pope francis: a man of his word,Documentary,Wim Wenders,Pope Francis,None,None,Wim Wenders Pope Francis None None Documentary
show dogs,Adventure Crime Family Comedy,Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Raja Gosnell Will Arnett Natasha Lyonne Ludacris Adventure Crime Family Comedy
solo: a star wars story,Science Fiction Adventure Action Crime,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Ron Howard Alden Ehrenreich Woody Harrelson Emilia Clarke Science Fiction Adventure Action Crime
how to talk to girls at parties,Comedy Music Romance Science Fiction,John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,John Cameron Mitchell Elle Fanning Alex Sharp Nicole Kidman Comedy Music Romance Science Fiction
in darkness,Thriller Mystery,Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Anthony Byrne Natalie Dormer Emily Ratajkowski Ed Skrein Thriller Mystery
the misandrists,Drama,Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Bruce LaBruce Susanne Sachße Viva Ruiz Kembra Pfahler Drama
future world,Science Fiction,"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,"James Franco, Bruce Thierry Cheung James Franco Suki Waterhouse Jeffrey Wahlberg Science Fiction"
action point,Comedy Drama,Tim Kirkby,Johnny Knoxville,Chris Pontius,None,Tim Kirkby Johnny Knoxville Chris Pontius None Comedy Drama
adrift,Thriller Romance Adventure,Baltasar Kormákur,Shailene Woodley,Sam Claflin,None,Baltasar Kormákur Shailene Woodley Sam Claflin None Thriller Romance Adventure
upgrade,Action Thriller Science Fiction,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Leigh Whannell Logan Marshall-Green Betty Gabriel Harrison Gilbertson Action Thriller Science Fiction
american animals,Drama Crime Documentary,Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Bart Layton Evan Peters Barry Keoghan Blake Jenner Drama Crime Documentary
social animals,Comedy Romance,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Theresa Bennett Noël Wells Josh Radnor Aya Cash Comedy Romance
ocean's 8,Crime Comedy Action,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Gary Ross Sandra Bullock Cate Blanchett Anne Hathaway Crime Comedy Action
won't you be my neighbor?,Documentary,Morgan Neville,Fred Rogers,None,None,Morgan Neville Fred Rogers None None Documentary
hereditary,Horror Mystery Thriller,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Ari Aster Toni Collette Alex Wolff Milly Shapiro Horror Mystery Thriller
hotel artemis,Thriller Science Fiction Action,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Drew Pearce Jodie Foster Sterling K. Brown Sofia Boutella Thriller Science Fiction Action
superfly,Action Crime,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Director X Trevor Jackson Jason Mitchell Michael K. Williams Action Crime
incredibles 2,Action Adventure Animation Family,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Brad Bird Craig T. Nelson Holly Hunter Sarah Vowell Action Adventure Animation Family
tag,Comedy Action,Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Jeff Tomsic Ed Helms Jeremy Renner Jon Hamm Comedy Action
on chesil beach,Drama Romance,Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Dominic Cooke Saoirse Ronan Billy Howle Emily Watson Drama Romance
gotti,Crime Drama History Thriller,Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Kevin Connolly John Travolta Kelly Preston Stacy Keach Crime Drama History Thriller
jurassic world: fallen kingdom,Action Adventure Science Fiction,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,J.A. Bayona Chris Pratt Bryce Dallas Howard Rafe Spall Action Adventure Science Fiction
boundaries,Comedy Drama,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Shana Feste Vera Farmiga Christopher Plummer Lewis MacDougall Comedy Drama
damsel,Comedy Western,"David Zellner, Nathan Zellner",Robert Pattinson,Mia Wasikowska,None,"David Zellner, Nathan Zellner Robert Pattinson Mia Wasikowska None Comedy Western"
the domestics,Thriller Horror,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Mike P. Nelson Tyler Hoechlin Kate Bosworth Lance Reddick Thriller Horror
sicario: day of the soldado,Action Crime Drama Thriller,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Stefano Sollima Benicio del Toro Josh Brolin Isabela Moner Action Crime Drama Thriller
leave no trace,Drama,Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Debra Granik Ben Foster Thomasin McKenzie Jeff Kober Drama
uncle drew,Comedy,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Charles Stone III Kyrie Irving Lil Rel Howery Shaquille O'Neal Comedy
